"","project","numEntities","failEntities","entities fail proportion","numTests","failTests","tests fail proportion","failRules","rules fail proportion","R1","R2","R3","R4","R5","R6","R7","R8"
"68","pires/simple-jpa-hibernate-guice-desktop-app",1,1,100,8,3,37.5,3,37.5,0,0,0,0,1,1,0,1
"69","Raysmond/SpringBlog",4,2,50,32,2,6.2,1,12.5,0,0,0,0,0,0,2,0
"70","sroysf/standalone-jpa-hibernate",2,2,100,16,6,37.5,3,37.5,0,0,0,0,2,2,0,2
"71","sroysf/webapp-springmvc-jpa-hibernate",2,2,100,16,6,37.5,3,37.5,0,0,0,0,2,2,0,2
"72","sxyx2008/hibernate-search-example/hibernate-example",2,2,100,16,6,37.5,3,37.5,0,0,0,0,2,2,0,2
"73","sxyx2008/maven-framework-project",5,5,100,40,20,50,4,50,0,5,0,0,5,5,0,5
"74","szczepkowski/Library",11,11,100,88,35,39.8,5,62.5,0,11,0,1,11,11,0,1
"75","thrawn01/Spring-Jersey-Hibernate-DbUnit-Example",1,1,100,8,4,50,4,50,0,1,0,0,1,1,0,1
"76","yanaga-samples/clean-jpa",1,1,100,8,3,37.5,3,37.5,0,0,0,1,1,1,0,0
"77","yaw/swing-spring-jpa-crud",1,1,100,8,5,62.5,5,62.5,0,1,0,1,1,1,0,1
